"region","depot","item_no","tms","ams","month","year"
"SW","ABEOKUTA","PMF20HLK",22.9436,11.4718,1,2022
"SW","ABEOKUTA","PMF20HLK",27.2933571428571,13.6466785714286,2,2022
"SW","ABEOKUTA","PMF20HLK",39.1535483870968,19.5767741935484,3,2022
"SW","ABEOKUTA","PMF20HLK",44.0812666666667,22.0406333333333,4,2022
"SW","ABEOKUTA","PMF20HLK",32.4870322580645,16.2435161290323,5,2022
"SW","ABEOKUTA","PMF20HLK",22.5610666666667,11.2805333333333,6,2022
"SW","ABEOKUTA","PMF20HLK",19.6405161290323,9.82025806451613,7,2022
"SW","ABEOKUTA","PMF20HLK",23.8309032258065,11.9154516129032,8,2022
"SW","ABEOKUTA","PMF20HLK",24.1063333333333,12.0531666666667,9,2022
"SW","ABEOKUTA","PMF20HLK",23.4152903225806,11.7076451612903,10,2022
"SW","ABEOKUTA","PMF20HLK",31.9824,15.9912,11,2022
"SW","ABEOKUTA","PMF20HLK",34.076380952381,17.0381904761905,12,2022
"SW","ABEOKUTA","PMM20HLK",222.0072,111.0036,1,2022
"SW","ABEOKUTA","PMM20HLK",231.6985,115.84925,2,2022
"SW","ABEOKUTA","PMM20HLK",240.403225806452,120.201612903226,3,2022
"SW","ABEOKUTA","PMM20HLK",355.4564,177.7282,4,2022
"SW","ABEOKUTA","PMM20HLK",339.831935483871,169.915967741936,5,2022
"SW","ABEOKUTA","PMM20HLK",214.927133333333,107.463566666667,6,2022
"SW","ABEOKUTA","PMM20HLK",123.401225806452,61.7006129032258,7,2022
"SW","ABEOKUTA","PMM20HLK",231.506967741935,115.753483870968,8,2022
"SW","ABEOKUTA","PMM20HLK",224.711733333333,112.355866666667,9,2022
"SW","ABEOKUTA","PMM20HLK",128.193483870968,64.0967419354839,10,2022
"SW","ABEOKUTA","PMM20HLK",300.797466666667,150.398733333333,11,2022
"SW","ABEOKUTA","PMM20HLK",379.050476190476,189.525238095238,12,2022
"SW","ABEOKUTA","RKF20HLK",618.3938,309.1969,1,2022
"SW","ABEOKUTA","RKF20HLK",556.028785714286,278.014392857143,2,2022
"SW","ABEOKUTA","RKF20HLK",430.585870967742,215.292935483871,3,2022
"SW","ABEOKUTA","RKF20HLK",627.903133333333,313.951566666667,4,2022
"SW","ABEOKUTA","RKF20HLK",560.850387096774,280.425193548387,5,2022
"SW","ABEOKUTA","RKF20HLK",440.272866666667,220.136433333333,6,2022
"SW","ABEOKUTA","RKF20HLK",332.236903225806,166.118451612903,7,2022
"SW","ABEOKUTA","RKF20HLK",469.235870967742,234.617935483871,8,2022
"SW","ABEOKUTA","RKF20HLK",623.946133333333,311.973066666667,9,2022
"SW","ABEOKUTA","RKF20HLK",463.187548387097,231.593774193548,10,2022
"SW","ABEOKUTA","RKF20HLK",295.1034,147.5517,11,2022
"SW","ABEOKUTA","RKF20HLK",278.56819047619,139.284095238095,12,2022
"SW","ABEOKUTA","RSF20HLK",35.195,17.5975,1,2022
"SW","ABEOKUTA","RSF20HLK",36.1527857142857,18.0763928571429,2,2022
"SW","ABEOKUTA","RSF20HLK",30.1114838709677,15.0557419354839,3,2022
